,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,FTR_original,HomeForm,HomeGD,DrawRate_Home,WinRate_Home,GoalsAvg_Home,AwayForm,AwayGD,DrawRate_Away,WinRate_Away,GoalsAvg_Away,Year,Month,Weekday,OddsRatio_HA,OddsDiff_HD,OddsDiff_AD,OddsGap_MinDelta,Form_Diff,IsDraw
85,2002-10-05,Strasbourg,Troyes,2.0,1.0,0,1.0,1.0,0,1.8,4.0,3.1,H,8,-1.0,0.1,0.3,0.9,7,4.0,0.2,0.4,0.8,2002,10,5,0.45,-1.3,0.8999999999999999,2.2,1,0
86,2003-04-06,Monaco,Nice,0.0,1.0,2,0.0,0.0,0,1.571,5.0,3.5,A,7,-6.0,0.3,0.1,0.5,8,-3.0,0.4,0.1,0.6,2003,4,6,0.3142,-1.929,1.5,3.4290000000000003,-1,0
87,2002-10-06,Auxerre,Monaco,1.0,1.0,1,1.0,0.0,1,1.8,4.0,3.1,D,8,3.0,0.4,0.3,1.1,8,10.0,0.2,0.5,1.4,2002,10,6,0.45,-1.3,0.8999999999999999,2.2,0,1
88,2002-10-06,Bordeaux,Sedan,2.0,2.0,1,1.0,1.0,0,1.5,6.0,3.4,D,8,-6.0,0.3,0.1,0.3,8,5.0,0.2,0.3,1.7,2002,10,6,0.25,-1.9,2.6,4.5,0,1
89,2002-10-06,Paris SG,Guingamp,5.0,0.0,0,4.0,0.0,1,1.667,5.0,3.1,H,9,-4.0,0.3,0.2,0.7,9,-4.0,0.1,0.3,1.0,2002,10,6,0.33340000000000003,-1.433,1.9,3.333,0,0
90,2002-11-07,Ajaccio,Auxerre,1.0,0.0,0,0.0,0.0,0,2.8,2.375,2.875,H,9,-3.0,0.3,0.2,0.6,9,1.0,0.4,0.3,0.7,2002,11,3,1.1789473684210525,-0.07500000000000018,-0.5,0.5,0,0
91,2002-11-07,Le Havre,Lyon,1.0,2.0,2,0.0,1.0,2,2.875,2.25,3.0,A,9,-5.0,0.4,0.2,0.6,9,4.0,0.2,0.5,1.3,2002,11,3,1.2777777777777777,-0.125,-0.75,0.75,0,0
92,2003-02-08,Nice,Sochaux,2.0,2.0,1,0.0,1.0,2,1.8,4.2,3.0,D,9,-7.0,0.4,0.1,0.6,9,4.0,0.4,0.4,1.2,2003,2,5,0.42857142857142855,-1.2,1.2000000000000002,2.4000000000000004,0,1
93,2003-02-08,Bordeaux,Bastia,0.0,2.0,2,0.0,1.0,2,1.667,4.5,3.25,A,9,9.0,0.2,0.5,1.4,9,-2.0,0.2,0.3,1.0,2003,2,5,0.37044444444444447,-1.583,1.25,2.833,0,0
94,2003-02-08,Le Havre,Sedan,2.0,1.0,0,1.0,1.0,0,1.909,3.75,3.0,H,9,-9.0,0.2,0.1,0.6,9,5.0,0.3,0.3,1.8,2003,2,5,0.5090666666666667,-1.091,0.75,1.841,0,0
95,2003-02-08,Lille,Lens,0.0,2.0,2,0.0,1.0,2,2.2,3.0,3.0,A,9,-4.0,0.4,0.3,1.3,9,-6.0,0.4,0.1,0.4,2003,2,5,0.7333333333333334,-0.7999999999999998,0.0,0.7999999999999998,0,0
96,2003-02-08,Strasbourg,Guingamp,3.0,1.0,0,0.0,0.0,0,2.0,3.4,3.0,H,9,4.0,0.5,0.3,1.1,9,3.0,0.3,0.3,1.4,2003,2,5,0.5882352941176471,-1.0,0.3999999999999999,1.4,0,0
97,2003-02-08,Rennes,Monaco,0.0,0.0,1,0.0,0.0,0,2.7,2.375,3.0,D,9,3.0,0.2,0.4,0.9,8,-2.0,0.3,0.2,0.9,2003,2,5,1.1368421052631579,-0.2999999999999998,-0.625,0.625,1,1
